percentcover,bareground,litter,species,Year,Site
15,3,1,Crested Wheatgrass,Spring 2018,Lazy Heart
15,5,1,Crested Wheatgrass,Fall 2018,Lazy Heart
38,4,1,Crested Wheatgrass,Spring 2019,Lazy Heart
2,5,1,Crested Wheatgrass,Fall 2019,Lazy Heart
2,4,1,Crested Wheatgrass,Spring 2018,Lazy Heart
2,3,1,Crested Wheatgrass,Fall 2018,Lazy Heart
2,5,1,Crested Wheatgrass,Spring 2019,Lazy Heart
2,3,1,Crested Wheatgrass,Fall 2019,Lazy Heart
38,2,2,Crested Wheatgrass,Spring 2018,Lazy Heart
85,1,4,Crested Wheatgrass,Fall 2018,Lazy Heart
63,1,3,Crested Wheatgrass,Spring 2019,Lazy Heart
85,2,3,Crested Wheatgrass,Fall 2019,Lazy Heart
38,3,1,Crested Wheatgrass,Spring 2018,Lazy Heart
15,5,1,Crested Wheatgrass,Fall 2018,Lazy Heart
38,3,1,Crested Wheatgrass,Spring 2019,Lazy Heart
63,1,1,Crested Wheatgrass,Fall 2019,Lazy Heart
15,3,1,Crested Wheatgrass,Spring 2018,Lazy Heart
85,1,5,Crested Wheatgrass,Fall 2018,Lazy Heart
15,4,2,Crested Wheatgrass,Spring 2019,Lazy Heart
63,2,1,Crested Wheatgrass,Fall 2019,Lazy Heart
2,1,1,Crested Wheatgrass,Spring 2018,Lazy Heart
85,1,3,Crested Wheatgrass,Fall 2018,Lazy Heart
85,1,1,Crested Wheatgrass,Spring 2019,Lazy Heart
85,1,1,Crested Wheatgrass,Fall 2019,Lazy Heart
2,2,2,Crested Wheatgrass,Spring 2018,Lazy Heart
2,2,2,Crested Wheatgrass,Fall 2018,Lazy Heart
2,3,3,Crested Wheatgrass,Spring 2019,Lazy Heart
15,1,2,Crested Wheatgrass,Fall 2019,Lazy Heart
38,1,2,Crested Wheatgrass,Spring 2018,Lazy Heart
38,1,5,Crested Wheatgrass,Fall 2018,Lazy Heart
15,4,2,Crested Wheatgrass,Spring 2019,Lazy Heart
63,1,2,Crested Wheatgrass,Fall 2019,Lazy Heart
15,3,1,Crested Wheatgrass,Spring 2018,Lazy Heart
